zipcode,floodzones in zipcode,area flood score 1,area flood score 2,avg area flood score
98055,"['X', 'AHB', 'AE']",2.6666666666666665,2.333333333333333,2.5
98002,"['X', 'AH', 'AE', 'AHB', 'C', 'AO']",2.5,2.333333333333333,2.416666666666667
98133,"['X', 'A', 'AE', 'C']",2.25,2.0,2.125
98001,"['X', 'AE', 'A', 'AH', 'C']",2.4,2.2,2.3
98032,"['X', 'AE', 'AHB', 'AH', 'C', 'A', 'VE']",2.571428571428572,2.4285714285714284,2.5
98188,"['X', 'AE', 'AH', 'AHB']",2.75,2.5,2.625
98057,"['X', 'AE', 'C', 'AH', 'AHB', 'A04', 'A']",2.571428571428572,2.4285714285714284,2.5
98070,"['A', 'X', 'C', 'AE', 'B']",2.2,2.0,2.1
98038,"['AE', 'X', 'A05', 'B', 'A', 'C', 'A01']",2.4285714285714284,2.2857142857142856,2.3571428571428568
98058,"['AE', 'X', 'A', 'A05', 'C', 'A07', 'B']",2.4285714285714284,2.2857142857142856,2.3571428571428568
98065,"['AE', 'X', 'A11', 'A12', 'A', 'AO', 'A05', 'A09', 'D', 'C']",2.5,2.4,2.45
98030,"['X', 'AE', 'AH']",2.6666666666666665,2.333333333333333,2.5
98108,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5
98042,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5
98117,"['X', 'A']",2.5,2.0,2.25
98008,"['X', 'AE', 'A', 'C', 'A06']",2.4,2.2,2.3
98125,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125
98027,"['AE', 'X', 'AO', 'A', 'A04', 'C', 'B', 'AOB', 'A02']",2.555555555555556,2.4444444444444446,2.5
98004,"['X', 'AE']",2.5,2.0,2.25
98019,"['AE', 'X', 'A', 'C', 'A10']",2.4,2.2,2.3
98047,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333
98119,['X'],2.0,1.0,1.5
98168,"['X', 'AE', 'C', 'AHB']",2.25,2.0,2.125
98115,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333
98022,"['A', 'X', 'D', 'AE', 'C']",2.0,1.8,1.9
98040,['X'],2.0,1.0,1.5
98118,['X'],2.0,1.0,1.5
98092,"['X', 'A', 'AE', 'AHB', 'A01', 'C', 'AH']",2.571428571428572,2.4285714285714284,2.5
